Name,Description,Years lived,Name,Description,Years lived,Name,Description,Years lived
Lorenzo Snow,"American religious leader, 5th President of The Church of Jesus Christ of Latter-day Saints",87,Pelham Dale,English priest,71,Edward Everett Hale,"American minister, historian, and author",87
William M. Tweed,American politician,55,Cyrus K. Holliday,American businessman,74,John Burroughs,American botanist and author,84
Arturo Prat,Chilean lawyer and captain,31,Jacob Gaudaur,Canadian rower,79,Frederik van Eeden,Dutch psychiatrist and author,72
Margaret Anglin,"Canadian actress, director, and producer",82,Tomáš Baťa,"Czech businessman, founded Bata Shoes",56,Otto Weininger,Austrian philosopher and author,23
Philippe Desranleau,Canadian archbishop,70,Ikki Kita,Japanese philosopher and author,54,Allan Dwan,"Canadian-American director, producer, and screenwriter",96
Marie-Victorin Kirouac,Canadian botanist and academic,59,St John Philby,English colonial and explorer,75,Dooley Wilson,American actor and singer,67
Nishizō Tsukahara,Japanese admiral,79,Neville Cardus,English author and critic,87,Thomas C. Kinkaid,American admiral,84
Leslie Howard,English actor,50,Princess Maud,Countess of Southesk,52,Mario Castelnuovo-Tedesco,Italian-American composer and educator,73
Joe Kirkwood Sr.,Australian golfer,73,Thrasyvoulos Tsakalotos,Greek general,92,George Jessel,"American actor, singer, and producer",83
David Jack,English footballer and manager,59,Maria Redaelli,Italian super-centenarian,114,Camille Chamoun,"Lebanese lawyer and politician, 7th President of Lebanon",87
Sally Rand,American dancer,75,Russel Wright,American furniture designer,72,Robert Sink,American general,60
Ted Hook,Australian public servant,80,Nanette Bordeaux,Canadian-American actress,45,Michael Woodruff,English-Scottish surgeon and academic,90
Dorothy Eden,New Zealand-English author,70,Grigoris Lambrakis,Greek physician and politician,51,Per Borten,"Norwegian politician, 18th Prime Minister of Norway",92
Sam Manekshaw,Indian field marshal,94,Piet de Jong,"Dutch captain and politician, Prime Minister of th",1915 -,İhsan Doğramacı,Turkish physician and academic,95
Cliff Gladwin,English cricketer,72,Louis Guglielmi,Catalan composer,75,Mary Anderson,American actress,96
Ervin Drake,American songwriter and composer,96,Clairette Oddera,French-Canadian actress and singer,89,John Demjanjuk,Ukrainian war criminal,92
Yoshibayama Junnosuke,"Japanese sumo wrestler, the 43rd Yokozuna",57,Robert Karvelas,American actor,70,Jan Sterling,American actress,83
Daniel Hoffman,American poet and academic,90,Marlon Brando,American actor and director,80,Roza Shanina,Russian sergeant and sniper,21
Jan Merlin,America,1925 -,Timothy Bateson,English actor,83,Alex Grammas,"American baseball player, manager, an",1926 -
Wesley A. Brown,American general and engineer,85,Don Gibson,American singer-songwriter and guitarist,75,Kevin Hagen,American actor,77
Earl Lloyd,American basketball player and coach,87,Jennifer Paterson,English chef and television personality,71,Fazlur Khan,"Bangladeshi engineer and architect, co-designed the Willis Tower and John Hancock Center",53
Lawton Chiles,"American soldier, lawyer, and politician, 41st Governor of Florida",68,Helmut Kohl,"German politician, Chancellor o",1930 -,Mario Benjamín Menéndez,Argentinian general and politician,85
William Bast,American screenwriter and author,84,Bob Dornan,America,1933 -,Rod Funseth,American golfer,52
Jim Parker,American football player,71,Jimmy McGriff,American organist and bandleader,72,Harold Vick,American saxophonist and flute player,51
Phil Rodgers,America,1938 -,François de Roubaix,French composer,36,Hawk Taylor,American baseball player and coach,73
Wolf Kahler,Germa,1940 -,Jan Berry,American singer-songwriter (Jan and Dean),63,Carl Boenish,American BASE jumper and cinematographer,43
Philippé Wynne,American singer (The Spinners),43,Marsha Mason,America,1942 -,Wayne Newton,America,1942 -
Mario Lavista,Mexica,1943 -,Jonathan Lynn,"English actor, director, an",1943 -,Richard Manuel,Canadian singer-songwriter and pianist (The Band and The Revols),43
Tony Orlando,American singer (Tony Orlando an,1944 -,Doon Arbus,American author an,1945 -,Bernie Parent,Canadian ice hockey player an,1945 -
Dee Murray,"English bass player (Procol Harum, The Mirage, and Spencer Davis Group)",46,Hanna Suchocka,"Polish lawyer and politician, 5th Prime Minister o",1946 -,John Virgo,English snooker player an,1946 -
Pat Proft,American actor an,1947 -,Arlette Cousture,Canadian author an,1948 -,Jaap de Hoop Scheffer,"Dutch academic, politician, and diplomat, 11th Secretary General o",1948 -
Lyle Alzado,American football player and actor,43,A. C. Grayling,English philosopher an,1949 -,Hans-Georg Schwarzenbeck,Germa,1949 -
Indrajit Coomaraswamy,Sri Lankan cricketer an,1950 -,Sally Thomsett,Englis,1950 -,Leroy Wallace,Jamaica,1950 -
Annette Dolphin,British academician an,1951 -,Mitch Woods,American singer-songwriter an,1951 -,Mike Moore,American lawyer an,1952 -
Wakanohana Kanji II,"Japanese sumo wrestler, the 56t",1953 -,Craig Taubman,American singer-songwriter an,1953 -,Elisabetta Brusa,Italia,1954 -
Hariharan,Indian singer (Colonia,1955 -,John Mooney,American singer and bas,1955 -,Kalle Kulbok,Estonia,1956 -
Tessa Souter,English-America,1956 -,Alec Baldwin,American actor an,1958 -,Francesca Woodman,American photographer,23
Arjen Anthony Lucassen,"Dutch singer-songwriter, guitarist, and producer (Ayreon, Star One, Ambeon, and Guil",1960 -,Marie Denise Pelletier,Canadia,1960 -,Lesley Sharp,Englis,1960 -
Dave Miley,American baseball player an,1962 -,Mike Ness,American singer-songwriter and guitarist (Socia,1962 -,Les Davidson,Australian rugby leagu,1963 -
Criss Oliva,American guitarist and songwriter (Savatage),30,Tsuyoshi Sekito,Japanese guitarist and songwriter (The Blac,1963 -,Nigel Farage,Englis,1964 -
Bjarne Riis,Danish cyclist an,1964 -,Andy Robinson,English rugby player an,1964 -,John de Vries,Australian race ca,1966 -
Cat Cora,American chef an,1967 -,Pervis Ellison,American basketbal,1967 -,Brent Gilchrist,Canadian ice hocke,1967 -
Mark Skaife,Australian race car driver an,1967 -,Sebastian Bach,Bahamian-Canadian singer-songwriter and actor (Ski,1968 -,Charlotte Coleman,English actress,33
Tomoaki Kanemoto,Japanese basebal,1968 -,Rodney Hampton,American footbal,1969 -,Peter Matera,Australian footballer an,1969 -
Seiichi Tanabe,Japanes,1969 -,Vitālijs Astafjevs,Latvian footballer an,1971 -,Emmanuel Collard,French race ca,1971 -
Jennie Garth,American actress an,1972 -,Catherine McCormack,Englis,1972 -,Sandrine Testud,French tenni,1972 -
Nilesh Kulkarni,India,1973 -,Yo Oizumi,Japanese television personality an,1973 -,Adam Scott,"American actor, director, an",1973 -
Drew Shirley,American guitarist and songwriter (Switchfoot and All Togethe,1974 -,Lee Williams,Welsh model an,1974 -,Shawn Bates,American ice hocke,1975 -
Aries Spears,American comedian an,1975 -,Yoshinobu Takahashi,Japanese basebal,1975 -,Koji Uehara,Japanese basebal,1975 -
Matthew Goode,Englis,1978 -,Tommy Haas,German-American tenni,1978 -,John Smit,South African rugb,1978 -
Simon Black,Australian footballer an,1979 -,Andrei Lodis,Belarusia,1980 -,Aaron Bertram,American trumpet player (Suburba,1981 -
Jared Allen,American footbal,1982 -,Iain Fyfe,Australia,1982 -,Kasumi Nakane,Japanese model an,1982 -
Ben Foster,Englis,1983 -,Stephen Weiss,Canadian ice hocke,1983 -,Jonathan Blondel,Belgia,1984 -
Jari-Matti Latvala,Finnish race ca,1985 -,Leona Lewis,English singer-songwriter an,1985 -,Amanda Bynes,America,1986 -
Annalisa Cucinotta,Italia,1986 -,Sergio Sánchez Ortega,Spanis,1986 -,Jay Bruce,American basebal,1987 -
Park Jung-min,"South Korean singer, dancer, and acto",1987 -,Jason Kipnis,American basebal,1987 -,Martyn Rooney,Englis,1987 -
Kam Chancellor,American footbal,1988 -,Brandon Graham,American footbal,1988 -,Peter Hartley,Englis,1988 -
Romain Alessandrini,Frenc,1989 -,Israel Folau,Australian rugby player an,1989 -,Karim Ansarifard,Irania,1990 -
Sotiris Ninis,Gree,1990 -,Stanislav Engovatov,Russia,1991 -,Hayley Kiyoko,American actress and singer (Th,1991 -
Mina Ōba,Japanese singer and actress (AKB48 an,1992 -,Gaku Sano,Japanes,1992 -,Nana Yamada,Japanese singer and actres,1992 -
Pape Moussa Konaté,Senegales,1993 -,Dylann Roof,perpetrator of Charleston mas,1994 -,Mayo Hibi,Japanese tenni,1996 -
Ambrosius Blarer,German-Swiss theologian and reformer,72,William Strachey,English author,49,Edward Nicholas,"English soldier and politician, Secretary of State for the Southern Department",76
Antoine Galland,French orientalist and archaeologist,69,Grinling Gibbons,Dutch-English sculptor,73,Giuseppe Maria Orlandini,Italian composer,84
Benjamin Kennicott,English theologian and scholar,65,Niccolò Antonio Zingarelli,Italian composer,85,Juan Manuel Olivares,Venezuelan organist and composer,37
Nachman of Breslov,,38,Edward Hicks,American minister and painter,69,Bettina von Arnim,"German author, illustrator, and composer",74
Dorothea Dix,American nurse and activist,85,Thomas Mayne Reid,Irish-American author and poet,65,Maria II of Portugal,,34
Zénobe Gramme,"Belgian engineer, invented the Gramme machine",75,Owen Suffolk,"Australian bushranger, poet, confidence-man an",1829 -,John Hughlings Jackson,English physician and neurologist,76
William Henry Jackson,American painter and photographer,99,Comte de Lautréamont,Uruguayan-French poet and educator,24,Remy de Gourmont,"French poet, novelist, and critic",62
Mary Colter,"American architect, designed the Desert View Watchtower",89,Pierre Monteux,French-American viola player and conductor,89,Maurice de Vlaminck,French painter and poet,82
Gustav Goßler,German rower,61,James Alberione,"Italian priest, founded the Society of St. Paul",87,Isoroku Yamamoto,Japanese admiral,59
Tris Speaker,American baseball player and manager,70,Zdzisław Żygulski,"Sr., Polish historian and academic",87,Makhanlal Chaturvedi,"Indian journalist, poet, and playwright",79
Arthur Murray,American dancer and educator,96,Robert E. Sherwood,American playwright and screenwriter,59,Pierre Fresnay,French actor and screenwriter,78
Agnes Ayres,American actress,42,Hillel Oppenheimer,German-Israeli botanist and academic,72,Louise Lévêque de Vilmorin,French journalist and author,67
Eugène Bozza,French composer and conductor,86,Erika Nõva,Estonian architect and engineer,82,Bea Benaderet,"American television, radio, and voice actress",62
Robert Askin,"Australian sergeant and politician, 32nd Premier of New South Wales",74,Đặng Văn Ngữ,Vietnamese physician and academic,57,Max Dupain,Australian photographer,81
Rosemary Lane,American actress and singer,61,Frances Langford,American actress and singer,92,Jules Léger,"Canadian lawyer and politician, 21st Governor General of Canada",67
Richard Coogan,American actor,100,Marguerite Duras,"French novelist, screenwriter, and director",82,Louis Archambault,Canadian sculptor,88
Mickey Owen,American baseball player and coach,89,David White,American actor,74,George Jellicoe,"2nd Earl Jellicoe, English soldier and politician, Leader of the House of Lords",89
Ignatius IV of Antioch,Greek patriarch,92,Elizabeth Wilson,American actress,94,Elmer Bernstein,American composer and conductor,82
Bob Christie,American racing driver,85,Gil Hodges,American baseball player and manager,48,Dettmar Cramer,German footballer and manager,90
Frank Truitt,American basketball player and coach,89,Claude Wagner,"Canadian lawyer, judge, and politician",54,Emmett Williams,American poet and author,82
Ronnie Masterson,Irish actress,88,Joe Orlando,Italian-American author and illustrator,71,Maya Angelou,American memoirist and poet,86
Jimmy Logan,"Scottish actor, director, and producer",73,Monty Norman,English singer-songwriter an,1928 -,Humbert Allen Astredo,American actor,87
James Dickens,English politician,82,Bobby Ray Inman,American admiral and intelligenc,1931 -,Catherine Tizard,"New Zealand politician, 16th Governor-General of Ne",1931 -
Richard Lugar,"American lieutenant and politician, 44th Mayor o",1932 -,Anthony Perkins,American actor,60,Johanna Reiss,Dutch-America,1932 -
Bill France,"Jr., American businessman",74,Brian Hewson,Englis,1933 -,Helen Hanft,American actress,79
Geoff Braybrooke,English-New Zealand soldier and politician,78,Kenneth Mars,American actor,76,Trevor Griffiths,English playwright an,1935 -
JoAnne Carner,America,1939 -,Major Lance,American singer,55,Hugh Masekela,South African singer-songwriter and trumpe,1939 -
Richard Attwood,English race ca,1940 -,Sharon Sheeley,American singer-songwriter,62,Jim Fregosi,American baseball player and manager,72
Elizabeth Levy,America,1942 -,Magda Aelvoet,Belgia,1944 -,Mary Kenny,"Irish journalist, author, an",1944 -
Nelson Prudêncio,Brazilian triple jumper and educator,68,Toktamış Ateş,"Turkish academician, political commentator, columnist and writer",69,Daniel Cohn-Bendit,French-German educator an,1945 -
Konrad von Finckenstein,German-Canadia,1945 -,Colin Coates,Australian spee,1946 -,Dave Hill,English guitaris,1946 -
György Spiró,Hungarian author an,1946 -,Bubba Wyche,American football player an,1946 -,Wiranto,Indonesian general an,1947 -
Michael Blassie,American lieutenant,24,Abdullah Öcalan,Turkis,1948 -,Berry Oakley,American bass player (The Allman Brothers Band),24
Derek Thompson,Northern Iris,1948 -,Pick Withers,English drummer (Dire Straits and Magn,1948 -,Junior Braithwaite,Jamaican-American singer (Bob Marley and the Wailers),50
Christine Lahti,American actress an,1950 -,John Hannah,American football player an,1951 -,Hun Sen,"Cambodian soldier and politician, 33rd Prime Minister o",1951 -
Pat Burns,Canadian ice hockey player and coach,58,Gregg Hansford,Australian motorcycle racer,43,Cherie Lunghi,English actress an,1952 -
Gary Moore,"Northern Irish singer-songwriter, guitarist, and producer (Skid Row, Thin Lizzy, and Colosseum II)",59,Villy Søvndal,"Danish educator and politician, Danish Minister of Foreig",1952 -,Robert Bertrand,Canadia,1953 -
Simcha Jacobovici,"Canadian director, producer, journalist, an",1953 -,Sammy Wilson,"Northern Irish politician, 31st Lord Mayor o",1953 -,Chen Yi,Chinese violinist an,1953 -
Tom Herr,American baseball player an,1956 -,David E. Kelley,American screenwriter an,1956 -,Paul Downton,Englis,1957 -
Graeme Kelling,Scottish guitarist (Deacon Blue),47,Nobuyoshi Kuwano,Japanese singer and trumpet player (Rats,1957 -,Peter Baltes,German bass playe,1958 -
Rodney Eade,Australian footballer an,1958 -,Phil Morris,American actor an,1959 -,Jonathan Agnew,English cricketer an,1960 -
Scott Miller,American singer-songwriter and guitarist (Game Theory and The Loud Family),53,Hugo Weaving,Australian-British actor an,1960 -,Hildi Santo-Tomas,American interio,1961 -
Kailasho Devi,Indian social worker an,1962 -,A. Michael Baldwin,"American actor, producer, an",1963 -,Jack Del Rio,American football player an,1963 -
Jane McDonald,English singer an,1963 -,Graham Norton,Irish actor and talk sho,1963 -,Branco,Brazilian footballer an,1964 -
Anthony Clark,America,1964 -,David Cross,"American actor, producer, an",1964 -,Đặng Thân,Vietnamese writer an,1964 -
Robert Downey Jr.,"American actor, producer, an",1965 -,Sean Wilson,Englis,1965 -,Nancy McKeon,America,1966 -
Christos Tsekos,Greek basketbal,1966 -,Edith Masai,Kenyan-Germa,1967 -,George Mavrotas,Greek water polo player an,1967 -
Piotr Anderszewski,Polish pianist an,1969 -,Karren Brady,English journalist an,1969 -,Georgios Amanatidis,Greek footballer an,1970 -
Barry Pepper,Canadian actor an,1970 -,Yelena Yelesina,Russian hig,1970 -,Çağan Irmak,Turkish film and television writer an,1970 -
Josh Todd,American singer-songwriter and acto,1971 -,Malik Yusef,"American actor, producer, an",1971 -,John Zandig,American wrestler an,1971 -
Jill Scott,American singer-songwriter an,1972 -,Magnus Sveningsson,Swedish bass player (Th,1972 -,Chris Banks,American football player,41
Loris Capirossi,Italian motorcycl,1973 -,Peter Hoekstra,Dutch footballer an,1973 -,Chris McCormack,Australian triathlete an,1973 -
Shōei,Japanes,1974 -,Dave Mirra,American BMX rider,42,Delphine Arnault,Frenc,1975 -
Joyce Giraud,"Puerto Rican-American model and actress, Miss Puerto Ric",1975 -,Roy Padrick,American journalist an,1975 -,Pamela Ribon,"American actress, screenwriter, an",1975 -
Scott Rolen,American basebal,1975 -,Kevin Weekes,Canadian ice hockey player an,1975 -,Nathan Blacklock,Australian rugb,1976 -
Emerson Ferreira da Rosa,Brazilia,1976 -,Bearwin Meily,Filipin,1976 -,James Roday,"American actor, director, an",1976 -
Keith Bulluck,American football player an,1977 -,Adam Dutkiewicz,"American guitarist, songwriter, and producer (Killswitch Engage, Aftershock, and Times o",1977 -,Stephen Mulhern,English magician and televisio,1977 -
Lemar,English singer-songwriter an,1978 -,Jason Ellison,American baseball player an,1978 -,Alan Mahon,Iris,1978 -
Irene Skliva,"Greek model, Miss Worl",1978 -,Heath Ledger,Australian actor,29,Roberto Luongo,Canadian ice hocke,1979 -
Andy McKee,America,1979 -,Jessica Napier,New Zealand-Australia,1979 -,Johnny Borrell,English singer-songwriter and guitarist (Razorlight and Th,1980 -
Eric Steinbach,American footbal,1980 -,Björn Wirdheim,Swedish race ca,1980 -,Currensy,American rapper (Jet Life and 50,1981 -
Casey Daigle,American basebal,1981 -,Anna Pyatykh,Russian tripl,1981 -,Ned Vizzini,American author and screenwriter,32
Magnus Lindgren,Swedish chef,30,Evgeny Artyukhin,Russian ice hocke,1983 -,Davide Lufrano Chaves,Italian-English guitarist,30
Doug Lynch,Canadian ice hocke,1983 -,Natalie Pike,Scottish-English model an,1983 -,Amanda Righetti,America,1983 -
Arkady Vyatchanin,Russia,1984 -,Rudy Fernández,Spanish basketbal,1985 -,Todrick Hall,"American singer, actor, director, choreographer an",1985 -
Eunhyuk,South Korean singer-songwriter and dancer (Super Junior and Donghae,1986 -,Cameron Barker,Canadian ice hocke,1986 -,Aiden McGeady,Scottish-Iris,1986 -
Sarah Gadon,Canadia,1987 -,Sami Khedira,Germa,1987 -,McDonald Mariga,Kenya,1987 -
Marcos Vellidis,Gree,1987 -,Frank Fielding,Englis,1988 -,Vurnon Anita,Dutc,1989 -
Chris Herd,Australia,1989 -,Spencer Scott,American porn actress an,1989 -,Yūki Mihara,Japanes,1990 -
Yui Koike,Japanese model an,1991 -,Jamie Lynn Spears,American actress an,1991 -,Marlon Stöckinger,Filipino race ca,1991 -
Christina Metaxa,Cyprio,1992 -,Alexa Nikolas,America,1992 -,Samir Carruthers,Englis,1993 -
Frank Kaminsky,American basketbal,1993 -,Shunsuke Nishikawa,Japanes,1994 -,Risako Sugaya,"Japanese singer and actress (Berryz Kobo, Guardians 4, an",1994 -
Miki Nishino,"Japanese singer, dancer, and actres",1999 -,Isabella of Hainault,,20,Emperor Go-Fushimi of Japan,,48
Blaise de Vigenère,French cryptographer and diplomat,73,Thomas Hobbes,English philosopher,91,John Wilson,English composer and educator,79
Vincenzo Viviani,"Italian mathematician, astronomer, and physicist",81,Elihu Yale,American-English merchant and philanthropist,72,Adrienne Lecouvreur,French actress,38
Pasquale Anfossi,Italian violinist and composer,70,Jean-Honoré Fragonard,French painter and etcher,74,Sébastien Érard,French instrument maker,79
Sir Thomas Hardy,"1st Baronet, English admiral",70,Benjamin Greene,"English brewer and businessman, founded Greene King Brewery",80,Louis Spohr,"German violinist, composer, and conductor",75
Samuel Freeman Miller,"American physician, lawyer, and jurist",74,Joseph Lister,"1st Baron Lister, English surgeon and academic",85,Jules Ferry,"French lawyer and politician, 44th Prime Minister of France",61
Algernon Charles Swinburne,"English poet, playwright, novelist, and critic",72,Robert Smalls,American pilot and politician,76,Ghazaros Aghayan,Armenian historian and linguist,71
Alexander of Battenberg,,36,Washington Atlee Burpee,"Canadian businessman, founded Burpee Seeds",57,Princess Victoria of Hesse and by Rhine,,87
Albert Roussel,French composer,68,Mirko Seljan,Croatian explorer,41,Samuel Cate Prescott,American microbiologist and chemist,90
Paul Weinstein,German high jumper,86,Walter Huston,Canadian-American actor and singer,67,Ion Inculeț,"Bessarabian academic and politician, President of Moldova",56
Clas Thunberg,Finnish speed skater,80,Alfred Blalock,American surgeon and academic,65,Elsie Thompson,American super-centenarian,114
Roman Steinberg,Estonian wrestler,28,Spencer Tracy,American actor,67,Melvyn Douglas,American actor,80
Menachem Mendel Schneerson,Russian-American rabbi,92,Richard Eberhart,American poet and academic,101,Lord Buckley,"American stage performer, recording artist and monologist",54
Ernestine Gilbreth Carey,American author,98,Jagjivan Ram,"Indian politician, 4th Deputy Prime Minister of India",78,Herbert von Karajan,Austrian conductor and manager,81
Erwin Wegner,German hurdler,36,Johnny Revolta,American golfer,80,Makar Honcharenko,Ukrainian footballer and manager,85
István Örkény,Hungarian author and playwright,67,Bill Roberts,English sprinter and soldier,89,Albert Henry Ottenweller,American bishop,96
Robert Bloch,American author,77,Barend Biesheuvel,"Dutch politician, Prime Minister of the Netherlands",81,Arthur Hailey,English-Canadian soldier and author,84
Rafiq Zakaria,"Indian cleric, scholar, and politician",85,Tom Finney,English footballer,92,Harry Freedman,"Polish-Canadian horn player, composer, and educator",83
Gale Storm,American actress and singer,87,Michael V. Gazzo,American actor and playwright,72,Nguyễn Văn Thiệu,"Vietnamese general and politician, 5th President of South Vietnam",78
Roger Corman,"American actor, director, producer, an",1926 -,Süleyman Seba,Turkish footballer and colonel,88,Fernand Dansereau,"Canadian director, producer, an",1928 -
Tony Williams,American singer (The Platters),64,Hugo Claus,"Belgian author, poet, and painter",79,Ivar Giaever,"Norwegian-American physicist and academic, Nobel Priz",1929 -
Joe Meek,English songwriter and producer,38,Mary Costa,American actress an,1930 -,Jack Clement,American singer-songwriter and producer,82
Feridun Buğeker,Turkish footballer,81,Larry Felser,American journalist,80,Frank Gorshin,American actor,72
K. Kailasapathy,Sri Lankan journalist and academic,49,John Carey,English author an,1934 -,Roman Herzog,"German lawyer and politician, 7th President o",1934 -
Stanley Turrentine,American saxophonist and composer,66,Peter Grant,English talent manager,60,Donald Lynden-Bell,English astrophysicist an,1935 -
Joseph Lelyveld,American journalist an,1937 -,Colin Powell,"American general and politician, 65th United States Secretary o",1937 -,Colin Bland,Zimbabwean-South Africa,1938 -
Mal Colston,Australian educator an,1938 -,Crispian St. Peters,English singer-songwriter,71,Ronald White,American singer-songwriter (The Miracles),56
Gilles Proulx,"Canadian journalist, historian, and radi",1940 -,Michael Moriarty,American-Canadian actor an,1941 -,Dave Swarbrick,"English singer-songwriter and fiddler (Fairport Convention, Whippersnapper, and Swarb'",1941 -
Peter Greenaway,Welsh director an,1942 -,Max Gail,American actor an,1943 -,Fighting Harada,Japanes,1943 -
Peter T. King,"American soldier, lawyer, an",1944 -,Pedro Rosselló,"Puerto Rican physician and politician, 7th Governor of Puert",1944 -,Cem Karaca,Turkish rock musician,59
Russell Davies,Welsh journalist and radi,1946 -,Takuro Yoshida,Japanes,1946 -,Gloria Macapagal-Arroyo,"Filipino academic and politician, 14th President of th",1947 -
Les Binks,"Irish drummer and songwriter (Judas Priest, Lionheart, Tytan, and Axi",1948 -,Dave Holland,"English drummer (Judas Priest, Pinkerton's Assorted Colours, Finders Keepers, an",1948 -,John Berg,American actor,58
Harpo,Swedis,1950 -,Ann C. Crispin,American author,63,Agnetha Fältskog,Swedish singer-songwriter and produce,1950 -
Dean Kamen,"American inventor and businessman, founded Segwa",1951 -,Dave McArtney,New Zealand singer-songwriter and guitarist (Hello Sailor),62,Bernie Ward,American radi,1951 -
Mitch Pileggi,America,1952 -,John Buchanan,Australian cricketer an,1953 -,Frank Gaffney,American journalist and radi,1953 -
Guy Bertrand,Canadian linguist and radi,1954 -,Stan Ridgway,American singer-songwriter and guitarist (Wall of Voodoo an,1954 -,Peter Case,American singer-songwriter and guitarist (The Nerves and Th,1954 -
Anthony Horowitz,English author an,1955 -,Akira Toriyama,Japanes,1955 -,Suzi Leather,English civi,1956 -
Karin Roßley,Germa,1957 -,Johan Kriek,South African-American tenni,1958 -,Diana Nasution,Indonesia,1958 -
Julius Drake,English pianist an,1959 -,Asteris Koutoulas,"Romanian-German record producer, manager, an",1960 -,Greg Mathis,American judge and televisio,1960 -
Ian Redford,Scottish footballer and manager,54,Hiromi Taniguchi,Japanes,1960 -,Lulu Carter,Swedish television host an,1961 -
Charlie Adam,Scottish footballer,50,Lana Clarkson,American actress and model,41,Gord Donnelly,Canadian ice hockey player an,1962 -
Kouichi Oohori,Japanes,1963 -,Princess Erika,French singer-songwriter an,1964 -,Marius Lăcătuș,Romanian footballer an,1964 -
Cris Carpenter,American baseball player an,1965 -,Aykut Kocaman,Turkish footballer an,1965 -,Mike McCready,"American guitarist and songwriter (Pearl Jam, Temple of the Dog, Mad Season, and Th",1966 -
Anu Garg,Indian-American journalist an,1967 -,Troy Gentry,American singer-songwriter and guitarist (Montgomer,1967 -,Paula Cole,American singer-songwriter an,1968 -
Soheil Ayari,French race ca,1970 -,Thea Gill,Canadia,1970 -,Krishnan Guru-Murthy,Englis,1970 -
Dong Abay,Filipino singer-songwriter and guitaris,1971 -,Krista Allen,America,1971 -,Philip Donoghue,British palaeontologist an,1971 -
Tim Coronel,Dutch race ca,1972 -,Pat Green,American singer-songwriter an,1972 -,Paul Okon,Australian footballer an,1972 -
Duncan Spencer,Englis,1972 -,Yasuhiro Takemoto,Japanese animator an,1972 -,Tony Banks,American football player an,1973 -
Brendan Cannon,Australian rugb,1973 -,Cho Sung-min,South Korean baseball player,40,Pharrell Williams,"American rapper, producer, and fashion designer (N.E.R.D, The Neptunes, and All City Ches",1973 -
Marcus Jones,English lawyer an,1974 -,Vyacheslav Voronin,Russian hig,1974 -,Sheryl Cruz,Filipino actress an,1974 -
John Hartson,Welsh footballer an,1975 -,Juicy J,American rapper and producer (Three,1975 -,Caitlin Moran,"English journalist, author, an",1975 -
Ryan Drese,American basebal,1976 -,Ross Gload,American basebal,1976 -,Simone Inzaghi,Italia,1976 -
Indrek Tobreluts,Estonia,1976 -,Stella Creasy,English psychologist an,1977 -,Robert Glasper,"American singer-songwriter, pianist, an",1978 -
Franziska van Almsick,Germa,1978 -,Timo Hildebrand,Germa,1979 -,Mitsuo Ogasawara,Japanes,1979 -
Dante Wesley,American footbal,1979 -,Matt Bonner,American basketbal,1980 -,David Chocarro,Argentinian baseball player an,1980 -
Lee Jae-won,South Korean actor and singer (H.O.T. an,1980 -,Joris Mathijsen,Dutc,1980 -,Jorge de la Rosa,Mexican basebal,1981 -
Michael A. Monsoor,"American soldier, Medal of Honor recipient",25,Tom Riley,English actor an,1981 -,Hayley Atwell,English-America,1982 -
Kelly Pavlik,America,1982 -,Matt Pickens,American socce,1982 -,Alexandre Prémat,French race ca,1982 -
Marshall Allman,"American actor, producer, an",1984 -,David Dillehunt,"American director, producer, an",1984 -,Kisho Yano,Japanes,1984 -
Daniel Congré,Frenc,1985 -,Lastings Milledge,American basebal,1985 -,Max Grün,Germa,1987 -
Jon Kwang-ik,North Korea,1988 -,Asumi Nakada,Japanese voice actress an,1988 -,Christopher Papamichalopoulos,Cyprio,1988 -
Lily James,Englis,1989 -,Haruma Miura,Japanese actor an,1990 -,Emmalyn Estrada,Canadian singer-songwriter and dance,1992 -
Nicolas Beer,Danish racin,1996 -,Kaito Nakamura,Japanese actor an,1998 -,Sharlene San Pedro,"Filipino actress, singer, an",1999 -
Raphael,Italian painter and architect,37,Maria Leopoldine of Austria,,17,André Dacier,French scholar and academic,71
Arvid Horn,"Swedish general and politician, Governor of Västerbotten County",78,Jean-Baptiste Rousseau,French poet and playwright,70,André Cardinal Destouches,French composer,77
Johann Georg Reutter,Austrian organist and composer,64,Pasquale Paoli,French soldier and politician,82,Gerard Majella,Italian saint,29
Wilhelm von Kobell,German painter and educator,87,James Mill,"Scottish historian, economist, and philosopher",63,Philip Henry Gosse,English biologist and academic,78
Robert Volkmann,"German organist, composer, and conductor",68,Aasmund Olavsson Vinje,Norwegian journalist and poet,52,Nadar,"French photographer, journalist, and author",90
George Waterhouse,"English-New Zealand politician, 7th Prime Minister of New Zealand",82,Gustave Moreau,French painter and academic,72,Guillaume Bigourdan,French astronomer and academic,81
Charles Huot,Canadian painter and illustrator,75,Arthur Wesley Dow,American painter and photographer,65,René Lalique,French sculptor and jewellery designer,85
William Bate Hardy,English biologist and academic,70,Felix-Raymond-Marie Rouleau,Canadian cardinal,65,Levon Shant,"Armenian author, poet, and playwright",82
Karl Staaf,Swedish pole vaulter and hammer thrower,72,J. G. Parry-Thomas,Welsh race car driver and engineer,43,Athenagoras I of Constantinople,,86
Osman Ali Khan,"Asaf Jah VII, Indian ruler",81,Hans Richter,"Swiss painter, illustrator, and director",88,Gerhard Ritter,German historian and academic,79
